TransactionID,Items
1,"Clothes, Shoes, Backpack, Kitchenware, Furniture"
2,"Toys, Shoes, Babywear, Kitchenware, Bedding"
3,"Furniture, Shoes, Clothes, Cookware, Garden"
4,"Toys, Furniture, Backpack, Shoes, Bedding"
5,"Kitchenware, Clothes, Shoes, Babywear"
6,"Shoes, Furniture, Clothes, Backpack, Cookware"
7,"Toys, Kitchenware, Clothes, Furniture"
8,"Garden, Furniture, Shoes, Cookware"
9,"Clothes, Toys, Shoes, Backpack, Bedding"
10,"Furniture, Garden, Clothes, Kitchenware, Shoes"
11,"Toys, Babywear, Shoes, Clothes"
12,"Clothes, Kitchenware, Furniture, Garden"
13,"Shoes, Toys, Backpack, Bedding"
14,"Kitchenware, Clothes, Furniture, Cookware, Bedding"
15,"Toys, Shoes, Clothes, Furniture"
16,"Garden, Babywear, Cookware, Clothes"
17,"Shoes, Furniture, Toys, Kitchenware"
18,"Clothes, Bedding, Garden, Cookware"
19,"Toys, Shoes, Clothes, Kitchenware"
20,"Furniture, Backpack, Garden, Clothes"
21,"Shoes, Kitchenware, Clothes, Garden"
22,"Furniture, Toys, Clothes, Bedding"
23,"Cookware, Babywear, Shoes, Furniture"
24,"Garden, Clothes, Furniture, Shoes"
25,"Babywear, Shoes, Furniture, Bedding"
